Name,Ratings,Reviews,Type,Location,Menu_price,PAX,Rooms,Amenities
Aurum Conventions and Resort Sohna Road Gurgaon,5.0,62 reviews,Hotel with Banquet & Lawn,"Sohna Road, Gurgaon ","₹2,600per plate",60-2000,20,+6 more
Le Méridien New Delhi,,24 reviews,Wedding Destination	,"Central Delhi, Delhi NCR ","₹5,500per plate",25-1000,358,+3 more
The Leela Palace New Delhi,4.8,21 reviews,Luxury City Center Hotel,"New Delhi, Delhi NCR ","₹6,000per plate",25-300,254,+6 more
"Radisson Blu Hotel, New Delhi Dwarka",,40 reviews,5 Star Hotel,"Dwarka, Delhi NCR ","₹2,800per plate",35-800,240,+4 more
The Grand New Delhi,4.6,19 reviews,5 Star Hotel,"Vasant Kunj, Delhi NCR ","₹4,000per plate",70-2000,382,+4 more
Sunday Resort & Spa Manesar Gurugram,5.0,6 reviews,Wedding Resort,Delhi NCR ,"₹2,500per plate",75-1200,82,+4 more
Haut Monde Rajputana Palace,4.8,15 reviews,Palace Hotel,Neemrana ,"₹2,500per plate",250-1000,50,+4 more
The Medallion by Kawatra,5.0,2 reviews,Hotel,Delhi NCR ,Price on Request,500-1200,20,+4 more
The Vintage - Aarone Farms,4.9,36 reviews,Farmhouse,"South Delhi, Delhi NCR ","₹2,200per plate",150-500,5,+8 more
Radiance Tania Farms,4.7,24 reviews,Farmhouse with Banquet,"Chattarpur, Delhi NCR ","₹2,000per plate",40-1500,7,+6 more
The LaLiT New Delhi,,22 reviews,5 Star City Center Hotel,"New Delhi, Delhi NCR ","₹4,450per plate",40-1000,461,+3 more
ARANYA FARMS,5.0,14 reviews,Farm with Glasshouse,Delhi NCR ,"₹2,000per plate",400-700,3,+5 more
Cherish Ballrooms at Imperial Club of India,5.0,6 reviews,Hotel with Banquet & Lawn,"Vasant Kunj, Delhi NCR ","₹2,800per plate",100-750,20,+5 more
Grand Mantram,5.0,44 reviews,Banquet Hall & Lawn,"Bandhwari, Gurgaon ","₹1,750per plate",150-500,37,+8 more
Watercrest- Venue Luxe,5.0,106 reviews,Banquet Hall & Lawn,"Okhla, Delhi NCR ","₹3,450per plate",300-400,,+7 more
The Grandreams Luxury Venues,4.7,94 reviews,Premium Banquet Hall,"Nehru Place, Delhi NCR ","₹2,750per plate",75-550,,+6 more
Krishna Greens By Mapple Gold,4.5,9 reviews,Banquet with Lawn,Delhi NCR ,"₹2,500per plate",250-1500,5,+5 more
"The Gracious Banquets, Naraina, Delhi",4.9,96 reviews,Banquet Hall,"West Delhi, Delhi NCR ","₹2,000per plate",150-500,,+5 more
Omnia Convention by Tivoli,,15 reviews,Convention With Large Banquet & Lawn,Gurgaon ,"₹4,500per plate",100-600,45,+4 more
"Park Boulevard Hotel, New Delhi",5.0,84 reviews,Hotel with Banquet & Lawn,"Chattarpur, Delhi NCR ","₹4,500per plate",250-1000,45,+7 more
Aiyavoo Mahal,4.9,5 reviews,Banquet Hall,Chennai ,₹415per plate,500-700,08,+4 more
The Royal Palms,4.8,20 reviews,Farmhouse with Banquet,"Vettuvankeni, Chennai ","₹2,50,000per function",500-700,4,+4 more
Mamalla Beach Resort,5.0,1 review,Wedding Destination	,Chennai ,"₹1,300per plate",50-1000,35,+3 more
Sugam Resort & Convention Center,5.0,14 reviews,Convention Hall & Lawn,Chennai ,₹650per plate,30-700,13,+5 more
21 Century Event Space,5.0,6 reviews,Lawn with Dome Structure,"Sholinganallur, Chennai ",₹850per plate,300-600,2,+4 more
Aqua Green Hotel,5.0,1 review,Convention Hall,Chennai ,₹375per plate,50-1500,15,+3 more
Kay-Em Spectra Hotel,4.5,1 review,Hotel,Chennai ,"₹1,450per plate",500-900,84,+3 more
The Royal Regency,5.0,1 review,Wedding Destination	,"Egmore, Chennai ",₹800per plate,20-350,103,+4 more
Asirvatham Mahal,4.8,27 reviews,Banquet Hall,"Medavakkam, Chennai ","₹80,000per function",300-500,8,+7 more
Kailash Resort,5.0,4 reviews,Wedding Resort,"Injambakkam, Chennai ","₹6,50,000per function",700-1250,26,+5 more
Blue Bay Beach Resort,4.7,27 reviews,Beach Front Resort,"Vadanemmeli, Chennai ",₹750per plate,50-700,25,+6 more
AJ Gardens (a) Amara Jothi Gardens,,7 reviews,Banquet Hall & Lawn,"Redhills, Ponneri ","₹5,00,000per function",175-3000,12,+4 more
The Ramachandra Convention Center,5.0,1 review,Convention Hall,"Thiruvanmiyur, Chennai ",₹400per plate,2800-3700,,+3 more
Hari Milan Banquets,5.0,6 reviews,Banquet Hall,"Choolai, Chennai ",Price on Request,100-200,,+2 more
The Leela Palace Chennai - Seaside Modern Palace Hotel,4.9,8 reviews,Seaside Luxury 5 Star,Chennai ,"₹4,200per plate",30-1200,325,+3 more
"Taj Wellington Mews, Chennai",5.0,2 reviews,5 Star Hotel,Chennai ,"₹2,850per plate",500-650,112,+3 more
The Palace House,,19 reviews,Scenic Lawn with Banquet,"Injambakkam, Chennai ",Rental Only,200-700,2,+4 more
Anand Farms,5.0,29 reviews,Banquet Hall & Lawn,"Ambattur, Chennai ",Price on Request,40-2000,4,+6 more
Sangeetha Banquet Hall,5.0,15 reviews,Banquet Hall,"Tiruvottiyur, Chennai ",Rental Only,150-250,,+2 more
RITAM,5.0,23 reviews,Lawn & Banquet Hall,"ECR East Coast Road, Kanathur Reddykuppam ","₹10,00,000per function",75-1000,13,+6 more
Coco Resort Banquets,,10 reviews,Resort with Banquet,Pimpri Chinchwad ,₹899per plate,100-600,17,+5 more
